"nctid","field","term","domain","omopConceptID","snomedConceptID","conceptName","match_socre","CTgovText","start_date","completion_date","enrollment","bucket","bucketConceptName"
"NCT00000459","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","December 1986","January 1999","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000459","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","December 1986","January 1999","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000459","condition_field","Hypercholesterolemia","Condition","4029305","13644009","Hypercholesterolemia","0.9842066168785095","Hypercholesterolemia","December 1986","January 1999","","Metabolism and Nutrition","Metabolic disease"
"NCT00000462","condition_field","Angina Pectoris","Condition","321318","194828000","Angina pectoris","1.0","Angina Pectoris","April 1987","November 2004","","Pain || Neurology || Cardiology/Vascular Diseases","Pain || Neurological finding || Cardiovascular finding"
"NCT00000462","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","April 1987","November 2004","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000462","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","April 1987","November 2004","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000462","condition_field","Diabetes Mellitus","Condition","201820","73211009","Diabetes mellitus","1.0","Diabetes Mellitus","April 1987","November 2004","","Metabolism and Nutrition || Endocrinology","Metabolic disease || Disorder of endocrine system"
"NCT00000462","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","April 1987","November 2004","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000462","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","April 1987","November 2004","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000463","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","April 1987","December 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000463","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","April 1987","December 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000463","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","April 1987","December 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000463","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","April 1987","December 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000472","condition_field","Angina Pectoris","Condition","321318","194828000","Angina pectoris","1.0","Angina Pectoris","April 1989","June 1995","","Pain || Neurology || Cardiology/Vascular Diseases","Pain || Neurological finding || Cardiovascular finding"
"NCT00000472","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","April 1989","June 1995","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000472","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","April 1989","June 1995","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000472","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","April 1989","June 1995","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000472","condition_field","Myocardial Infarction","Condition","4329847","22298006","Myocardial infarction","0.9982199668884277","Myocardial Infarction","April 1989","June 1995","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000472","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","April 1989","June 1995","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000474","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","September 1989","September 1994","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000474","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","September 1989","September 1994","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000474","condition_field","Hypertension","Condition","316866","38341003","Hypertensive disorder","1.0","Hypertension","September 1989","September 1994","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000474","condition_field","Vascular Diseases","Condition","443784","27550009","Vascular disorder","0.99242103099823","Vascular Diseases","September 1989","September 1994","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000476","condition_field","Arrhythmia","Condition","44784217","698247007","Cardiac arrhythmia","1.0","Arrhythmia","June 1990","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000476","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","June 1990","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000476","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","June 1990","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000476","condition_field","Congestive Heart Failure","Condition","319835","42343007","Congestive heart failure","1.0","Congestive Heart Failure","June 1990","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000476","condition_field","Sinus Arrhythmia","Condition","4217221","71792006","Nodal rhythm disorder","1.0","Sinus Arrhythmia","June 1990","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000476","condition_field","Heart Failure","Condition","316139","84114007","Heart failure","1.0","Heart Failure","June 1990","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000485","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","May 1971","May 1982","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000485","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","May 1971","May 1982","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000485","condition_field","Hypertension","Condition","316866","38341003","Hypertensive disorder","1.0","Hypertension","May 1971","May 1982","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000485","condition_field","Vascular Diseases","Condition","443784","27550009","Vascular disorder","0.99242103099823","Vascular Diseases","May 1971","May 1982","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000487","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","June 1972","July 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000487","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","June 1972","July 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000487","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","June 1972","July 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000487","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","June 1972","July 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000488","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","June 1973","October 1989","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000488","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","June 1973","October 1989","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000488","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","June 1973","October 1989","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000488","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","June 1973","October 1989","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000489","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","June 1973","December 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000489","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","June 1973","December 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000489","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","June 1973","December 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000489","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","June 1973","December 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000491","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","October 1974","August 1979","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000491","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","October 1974","August 1979","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000491","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","October 1974","August 1979","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000491","condition_field","Myocardial Infarction","Condition","4329847","22298006","Myocardial infarction","0.9982199668884277","Myocardial Infarction","October 1974","August 1979","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000491","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","October 1974","August 1979","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Arrhythmia","Condition","44784217","698247007","Cardiac arrhythmia","1.0","Arrhythmia","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Cardiac Sudden Death","Condition","4317150","95281009","Sudden cardiac death","0.9985162615776062","Cardiac Sudden Death","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Myocardial Infarction","Condition","4329847","22298006","Myocardial infarction","0.9982199668884277","Myocardial Infarction","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000492","condition_field","Ventricular Fibrillation","Condition","437894","71908006","Ventricular fibrillation","0.9951227307319641","Ventricular Fibrillation","September 1977","October 1981","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000514","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","June 1984","October 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
